respid,sample,comp,int_date,lang,cregion,state,density,usr,qs1,sex,eminuse,intmob,intfreq,home4nw,bbhome1,bbhome2,device1a,smart2,snsint2,device1b,device1c,device1d,web1a,web1b,web1c,web1d,web1e,web1f,web1g,web1h,sns2a,sns2b,sns2c,sns2d,sns2e,pial5a,pial5b,pial5c,pial5d,pial11,pial11a,pial11ao@,pial11_igbm,pial12,books1,books2a,books2b,books2c,age,marital,educ2,emplnw,hisp,racem1,racem2,racem3,racem4,racecmb,birth_hisp,inc,party,partyln,hh1,hh3,ql1,ql1a,qc1,weight,cellweight
100865,2,1,180104,1,2,55,5,U,2,2,1,1,1,1,2, , ,1,1,1,1,2,2,2,1,2,1,2,1,1, , ,3, ,3,3,1,1,4,1,1,educational,1,1,1,1,1,2,55,1,6,1,2,1, , , ,1, ,7,3,2,3,3, , ,2,0.7814521,0.7894807
100867,2,1,180104,2,3,48,2,U,2,2,1,1,3,2, , , ,1,2,1,2,1,2,2,1,2,1,1,2,2, , ,2, ,4,3,2,3, ,1,1,Sirve para comunicarse y tener contacto con algunas personas,9,1,0, , , ,43,1,2,1,1,1, , , ,1,3,1,3,1,4,2, , ,2,1.3933699,1.0768875
100868,2,1,180104,1,3,28,2,S,2,1,1,1,1,1,2, , ,1,1,2,1,2,2,1,2,1,1,1,2,1, ,1, ,1,3,4,2,1,3,2,1,less connnection,4,2,3,1,2,2,20,6,4,4,2,1, , , ,1, ,9,3,2,6,4, , ,1,1.4782821,1.0563661
100869,2,1,180104,1,3,28,1,R,2,1,2,2, , , , , ,1,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1,1, , ,8, , ,9, ,0, , , ,50,3,4,1,2,9, , , ,9, ,1,8,8,1, , , ,2,1.5025454,1.3639857
100870,2,1,180104,1,3,48,1,R,2,1,1,1,2,1,2, , ,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,3,1,1,4,4,4,4,1,1,helps communcat with long distance family,2,1,6,1,1,2,18,6,4,4,1,1, , , ,1,1,3,1, ,7,4, , ,2,1.0365406,0.7635488
100871,2,1,180104,2,3,48,5,U,2,2,2,2, , , , , ,1,2,2,2,2,2,2,1,2,2,2,2,2, , ,1, , ,1,1, , ,3, , ,9, ,0, , , ,71,1,1,4,1,7, , , ,5,3,3,2, ,6,4, , ,1,0.6751868,0.9722747
100872,2,1,180104,1,3,48,5,U,2,1,1,1,1,1,2, , ,1,1,1,1,1,2,1,1,1,1,1,1,2, ,2,3,1,3,2,1,1,3,1,1,"because its techonolgy is progressing the way of the way the world is, its more of a necessity for commmunicationm",2,1,1,1,2,2,33,6,5,1,1,7, , , ,5,1,6,3,1,2,2, , ,1,1.2579281,1.044502
100874,2,1,180106,1,3,48,5,S,2,1,2,2, , , , , ,1,2,2,2,2,2,2,2,2,1,2,2,2, , , , ,2,1,1, , ,2,1,people want to act as fools|on in the internet,8, ,0, , , ,64,8,98,6,2,2, , , ,2, ,3,3,2,1, , , ,1,0.3761749,0.4333029
100876,2,1,180104,1,3,48,4,U,2,1,1,1,2,1,2, , ,1,1,1,1,2,2,2,1,2,1,2,2,2, , ,1, ,4,2,2,2,3,1,1,access to info,1,1,20,1,2,2,73,1,7,3,2,1, , , ,1, ,2,2, ,2,2, , ,2,0.4788153,0.4810758
100878,2,1,180104,2,2,17,5, ,2,1,8,2, , , , , ,8,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1,2, , ,1,8, ,9, ,0, , , ,61,1,1,2,1,9, , , ,9,3,98,9,9,5,5, , ,1,0.6186949,0.5749358
100879,2,1,180104,1,3,48,2,U,2,1,1,1,2,2, , , ,1,1,1,1,2,2,2,1,2,1,2,2,2, , ,1, ,1,4,3,3,3,1,1,the connection to information and with your family and long distance friends and mainly the fact that you can look up anyting and its available,2,1,2,1,2,2,51,5,3,5,2,1, , , ,1, ,1,3,2,1, , , ,2,1.8091996,1.6604639
100880,2,1,180104,1,3,13,2,R,2,2,1,1,2,1,2, , ,1,1,1,1,1,1,1,1,2,1,1,1,1,5,1,1, ,5,1,1,1,2,1,1,"help connect with each other better, provides information to us instantaneously",2,1,15,1,2,2,51,1,6,2,2,1, , , ,1, ,9,1, ,4,4, , ,1,1.1379135,1.0194171
100881,2,1,180104,1,3,48,1,S,2,1,1,1,1,1,8, , ,1,1,1,2,1,2,2,1,2,1,2,2,2, , ,2, ,1,2,4,4,4,3, , ,9,2,20,1,2,2,33,6,3,4,1,7, , , ,5,1,1,3,1,1, , , ,2,1.1797406,0.9520428
100883,2,1,180104,2,3,48,4,U,2,2,2,2, , , , , ,1,1,2,2,2,2,2,1,2,1,1,2,2, , ,1, ,1,1,1, ,2,1,1,unicas cosas de communicacion entre hijos y trabajas,9, ,98,1,2,2,68,4,1,1,1,7, , , ,5,3,2,4,8,3,2, , ,2,0.6669967,0.8279724
100884,2,1,180104,2,3,48,5,S,2,1,1,1,4,2, , , ,1,1,2,2,2,2,2,1,2,1,1,2,2, , ,5, ,3,4,3,3,4,2,1,porque es una distraccion muy grande,9,1,0, , , ,27,6,6,1,1,9, , , ,9,3,1,8,8,4,4, , ,2,0.4864655,0.4333029
100886,2,1,180104,1,3,48,1,R,2,2,1,1,2,1,8, , ,1,1,1,1,2,2,2,1,2,1,2,1,2, , ,1, ,5,4,1,1,2,1,1,"information is avaliable for everyone, it used to be hard to get, its now very quickly",1,1,98,1,1,1,80,1,6,3,2,1, , , ,1, ,7,1, ,2,2, , ,2,0.5037732,0.7293582
100887,2,1,180104,1,2,17,5,U,2,2,1,1,2,1,2, , ,1,1,1,1,1,1,2,1,2,1,2,1,1,5, ,3, ,3,1,1,1,2,1,1,it allows access to information,1,1,3,1,2,2,50,1,7,1,2,2, , , ,2, ,8,3,2,5,4, , ,1,0.8978464,0.709768
100888,2,1,180104,1,4,2,2,U,2,1,1,1,3,1,5, , ,1,2,1,2,2,2,2,2,2,2,2,2,2, , , , , ,6,2,3, ,1,1,news,1,1,97,1,1,1,30,1,6,1,2,1, , , ,1, ,99,9,1,5,2, , ,2,0.7543602,0.5313328
100889,2,1,180104,1,3,48,1,S,2,1,1,1,4,2, , , ,1,1,1,1,2,2,2,1,2,1,2,2,2, , ,3, ,3,2,2,2,4,1,1,information,1,1,0, , , ,34,1,3,1,1,7, , , ,5,1,5,4,1,5,2, , ,1,0.9548154,0.9520428
