respid,sample,comp,int_date,lang,cregion,state,density,usr,qs1,sex,eminuse,intmob,intfreq,home4nw,bbhome1,bbhome2,device1a,smart2,snsint2,device1b,device1c,device1d,web1a,web1b,web1c,web1d,web1e,web1f,web1g,web1h,sns2a,sns2b,sns2c,sns2d,sns2e,pial5a,pial5b,pial5c,pial5d,pial11,pial11a,pial11ao@,pial11_igbm,pial12,books1,books2a,books2b,books2c,age,marital,educ2,emplnw,hisp,racem1,racem2,racem3,racem4,racecmb,birth_hisp,inc,party,partyln,hh1,hh3,ql1,ql1a,qc1,weight,cellweight
1,1,1,180103,1,1,42,5,U, ,2,1,1,1,1,2, ,1,1,1,1,1,1,2,1,1,1,1,1,2,2, ,1,1,3,3,2,1,2,3,1,1,information has become available more frequently and easier,1,1,1,1,2,2,33,2,3,1,2,1, , , ,1, ,6,2, ,5,4,1, , ,1.7463586, 
2,1,1,180103,1,3,45,2,S, ,2,2,2, , , , ,1,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,3, , ,8, , ,9, ,5,1,2,2,76,1,98,3,2,1, , , ,1, ,4,3,8,2,2,2,2, ,1.6597644, 
3,1,1,180103,1,1,34,5,S, ,2,1,2,3,1,2, ,1,1,2,1,1,2,2,2,2,2,2,2,2,2, , , , , ,1,2,1, ,1,1,it connects people together,2,1,0, , , ,99,5,5,5,2,1, , , ,1, ,4,1, ,1, ,1, , ,0.4908044, 
4,1,1,180103,1,3,24,4,S, ,2,1,1,4,1,2, ,1,1,1,2,1,2,2,2,1,2,2,2,2,2, , ,3, , ,2,3,3,3,2,1,kids spend to much time on it,5,1,2,1,2,2,60,2,5,8,2,1, , , ,1, ,2,2, ,2,2,1, , ,0.9479652, 
5,1,1,180103,1,1,33,2,R, ,1,1,1,2,1,2, ,1,1,1,1,1,1,2,2,1,2,1,2,1,1, , ,3, ,2,1,2,1,3,1,1,it's just another tool for people to use,1,1,6,1,2,1,55,1,4,1,2,1, , , ,1, ,7,1, ,3,3,1, , ,0.9159586, 
6,1,1,180103,1,3,37,3,U, ,1,1,1,2,1,2, ,1,1,1,1,1,2,1,2,1,2,1,2,1,1,2, ,1, ,3,3,5,1,1,3, , ,9,1,18,1,2,1,58,1,7,1,2,1, , , ,1, ,7,3,2,2,2,1, , ,0.4850252, 
7,1,1,180103,1,3,12,5,U, ,2,1,1,2,1,2, ,1,1,1,2,1,2,2,2,1,2,1,2,1,1, , ,3, ,5,3,3,3,4,8, , ,9,1,3,1,2,1,99,1,5,5,9,9, , , ,9, ,9,2, ,2,2,1, , ,0.6532008, 
8,1,1,180103,1,1,34,5,S, ,1,1,1,2,1,2, ,1,1,1,1,1,2,2,2,1,2,1,2,1,1, , ,2, ,4,2,2,2,3,1,1,Spreading of information such as political truth. When someone in the politicial position and has power spreads vicious lies.,1,1,2,1,2,1,72,1,6,4,2,1, , , ,1, ,6,3,2,2,2,1, , ,0.4393853, 
9,1,1,180103,1,3,51,1,R, ,1,2,2, , , , ,2, ,2,2,2,2, , , , , , , , , , , , , ,6, , , ,8, , ,9, ,3,2,2,2,58,6,1,4,2,2, , , ,2, ,1,1, ,1, ,2, , ,1.3449022, 
11,1,1,180103,1,3,54,2,R, ,2,1,1,2,1,2, ,1,1,1,1,1,1,2,2,1,2,1,2,2,2, , ,2, ,4,1,2,2,3,1,1,its simpliedfied our daily life,1,1,97,2,2,1,68,1,6,3,2,1, , , ,1, ,2,4,8,2,2,1, , ,0.4271275, 
12,1,1,180103,1,3,51,2,S, ,1,1,1,2,1,2, ,1,1,2,1,1,2,1,1,1,2,1,2,2,2,1,4,3, ,4,1,4,1, ,1,1,"gives you information you cant get anywhere else, nothing you cant find out there.",1,1,5,1,2,1,65,1,7,3,2,1, , , ,1, ,2,1, ,5,4,1, , ,0.4857911, 
13,1,1,180103,1,3,12,5,U, ,2,1,1,2,1,2, ,1,1,1,1,1,2,2,2,1,2,1,2,2,2, , ,5, ,3,2,1,1,4,1,1,information,1,1,8,1,1,2,63,1,6,2,2,1, , , ,1, ,6,3,1,2,2,1, , ,0.6747759, 
14,1,1,180103,1,1,42,4,S, ,1,2,2, , , , ,2, ,2,2,2,2, , , , , , , , , , , , , ,1, , , ,8, , ,9, ,6,2,2,2,88,1,7,3,2,3, , , ,3, ,4,2, ,2,2,2,2, ,1.9092768, 
15,1,1,180103,1,3,37,1,R, ,2,1,1,3,1,2, ,1,1,1,2,1,2,1,2,1,2,1,1,1,2,4, ,1, ,4,1,3,1,3,1,1,online shopping,1,1,3,1,2,1,64,1,6,3,2,1, , , ,1, ,5,1, ,2,2,1, , ,0.6455818, 
20,1,1,180103,1,3,51,2,S, ,2,1,1,2,1,2, ,1,1,1,2,2,9,2,2,1,2,2,2,1,2, , ,5, , ,3,1,3,4,2,1,instant acess,8,8,98,1,2,2,40,1,7,4,2,1, , , ,1, ,99,1, ,9,2,1, , ,1.036693, 
21,1,1,180103,1,3,21,2,U, ,1,1,1,2,1,2, ,1,1,2,1,1,2,2,2,2,2,2,2,2,2, , , , , ,2,1,1, ,1,1,quanity of information,1,1,12,1,2,2,50,1,4,1,2,1, , , ,1, ,9,1, ,9,2,1, , ,1.2739432, 
23,1,1,180103,1,2,39,2,U, ,2,2,2, , , , ,1,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1,4, , ,2,1,You put stuff out there and everyone knows your business.,7, ,0, , , ,67,3,4,3,2,1, , , ,1, ,3,3,8,1, ,1, , ,0.4436683, 
24,1,1,180103,1,1,42,3,S, ,1,1,2,4,2, , ,1,1,2,2,2,1,2,2,1,1,1,2,8,2, , ,5,5,3,1,1,3, ,1,1,because you can serach for things like employment and find locations of stuff,1,1,1,2,1,2,30,8,3,6,8,2, , , ,2, ,1,3,2,2,2,1, , ,0.8682694, 
25,1,1,180103,1,1,36,1,S, ,2,2,2, , , , ,2, ,2,2,2,2, , , , , , , , , , , , , ,1, , , ,2,1,just dont like it,8, ,0, , , ,84,1,3,3,2,1, , , ,1, ,3,4,1,2,2,2,2, ,2.112972, 
26,1,1,180108,1,2,26,5,S, ,1,1,1,3,1,2, ,2, ,2,2,2,1,2,2,2,2,1,2,1,8, , , , ,1,1, ,4, ,1,1,you can find out goodinfo,1,1,0, , , ,43,6,3,6,2,1, , , ,1, ,1,8,8,5,3,1, , ,1.7448283, 
27,1,1,180103,1,1,25,4,S, ,2,1,2,3,1,2, ,2, ,2,2,1,2,2,2,2,2,2,2,2,2, , , , , ,1, ,1, ,1,1,updated news and politics,1,1,0, , , ,61,4,5,6,2,1, , , ,1, ,2,3,1,4,4,2,1, ,2.112972, 
28,1,1,180108,1,2,26,5,S, ,1,1,1,3,1,2, ,1,2,2,2,2,2,2,2,2,2,1,2,1,2, , , , ,1,3,2,2, ,1,1,can get moreinformation,1,1,0, , , ,68,5,3,3,2,1, , , ,1, ,3,1, ,3,3,1, , ,1.1752113, 
29,1,1,180103,1,1,42,1,R, ,2,1,1,2,1,2, ,2, ,2,1,1,2,2,2,2,2,1,2,1,2, , , , ,1,1, ,1, ,3, , ,9,1,0, , , ,67,1,4,3,2,1, , , ,1, ,2,3,1,3,3,2,1, ,2.112972, 
31,1,1,180103,1,1,36,3,S, ,2,2,2, , , , ,1,2,2,2,1,2,2,2,2,2,2,2,2,2, , , , , ,6,2, , ,2,1,IT TAKES AWAY THE PRODUCTIVE LIFESTYLE AND WORK FROM ALL OF US.,4, ,4,1,2,2,25,1,3,2,2,1, , , ,1, ,2,1, ,6,2,1, , ,1.5899676, 
32,1,1,180103,2,3,12,4,S, ,1,1,1,2,1,2, ,2, ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1, ,4,3,1,1,information,1,2,1,1,2,2,79,1,1,3,1,7, , , ,5,3,1,4,2,2,2,1, , ,0.6072763, 
33,1,1,180103,1,3,13,2,U, ,1,1,1,1,1,2, ,1,1,2,2,1,2,2,2,2,2,1,2,2,2, , , , ,1,4,3,2, ,1,1,helps people communicate,2,1,12,1,1,2,99,9,99,99,9,9, , , ,9, ,99,9,9,9,2,1, , ,0.4237598, 
35,1,1,180103,1,2,39,4,U, ,2,1,1,2,1,2, ,1,1,1,1,1,2,2,2,1,2,1,2,1,2, , ,1, ,2,4,2,2,4,2,1,In so many ways it has lessened our social bonds.,4,3,35,1,2,2,69,1,6,3,2,1, , , ,1, ,8,1, ,2,2,1, , ,0.3761749, 
36,1,1,180103,1,1,42,4,S, ,1,1,1,2,1,2, ,1,2,1,1,1,2,1,1,2,2,1,1,2,8,4,3, , ,2,1,1,1,3,1,8, ,9,1,2,2,2,1,86,1,6,3,2,1, , , ,1, ,6,3,8,2,2,1, , ,0.4027243, 
40,1,1,180103,1,3,37,4,S, ,2,1,1,3,1,2, ,1,2,1,2,1,2,2,2,1,2,2,2,2,2, , ,3, , ,2,3,2,3,1,1,SOME GOOD SOME BAD,8,1,3,2,2,2,50,9,7,1,2,1, , , ,1, ,99,1, ,9,9,9,9, ,0.9077383, 
41,1,1,180103,1,1,50,1,R, ,2,1,1,2,1,2, ,1,2,1,2,1,2,2,2,1,2,1,2,1,2, , ,1, ,3,1,3,1,4,1,1,"It saves gas, time and i can go to many different places more efficiently.",1,1,1,1,2,2,48,1,5,5,2,1, , , ,1, ,3,2, ,3,2,1, , ,1.7578304, 
42,1,1,180103,1,1,36,5,U, ,2,2,2, , , , ,1,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1,3, , ,1,1,good way to get in touch with each other very quickly,2, ,12,1,2,2,89,5,4,4,2,1, , , ,1, ,8,2, ,2,2,1, , ,0.6788184, 
43,1,1,180103,1,3,51,4,S, ,1,1,1,2,1,3, ,1,1,2,1,1,2,2,2,2,2,1,2,2,1, , , , ,3,1,3,3, ,2,1,to much information lack of privacy,7,2,12,1,1,2,75,1,6,5,2,1, , , ,1, ,6,1, ,2,2,1, , ,0.3875261, 
44,1,1,180103,1,3,37,3,S, ,2,1,1,4,1,2, ,1,1,1,1,1,2,2,2,1,2,1,1,1,2, , ,3, ,3,4,2,2,4,1,1,learn and research,1,1,3,1,2,2,37,1,7,1,1,7, , , ,5,3,7,1, ,5,2,1, , ,0.6747129, 
46,1,1,180103,1,1,33,3,S, ,2,1,1,4,1,8, ,1,1,8,1,1,2,2,2,1,2,1,1,1,2, , ,3, ,5,3,1,1, ,2,1,always on it,4,3,2,1,1,2,65,1,3,3,2,3, , , ,3, ,9,8,2,4,4,1, , ,1.317249, 
47,1,1,180103,1,2,18,5,U, ,2,1,1,2,1,2, ,1,1,1,2,1,2,2,2,1,2,1,2,1,2, , ,1, ,3,3,1,2,4,1,1,access to information that people wouldnt otherwise have,1,1,6,1,2,2,65,1,6,3,2,1, , , ,1, ,7,1, ,3,3,1, , ,0.4579116, 
48,1,1,180103,1,2,26,3,S, ,2,1,1,1,1,2, ,1,1,1,1,1,1,1,1,1,2,1,2,1,1,5,5,1, ,5,2,1,1,4,1,1,Connectedness,2,1,40,1,2,1,49,1,6,1,2,1, , , ,1, ,99,2, ,2,2,1, , ,0.9688544, 
49,1,1,180103,1,3,48,5,R, ,1,1,1,2,1,2, ,1,1,2,2,1,2,2,2,2,2,2,2,2,2, , , , , ,2,3,1, ,1,1,communication,2,1,10,1,2,2,99,5,6,3,2,1, , , ,1, ,9,2, ,1, ,1, , ,0.3761749, 
50,1,1,180103,1,1,36,4,S, ,2,1,2,4,1,2, ,1,1,2,2,1,2,2,2,1,2,2,2,2,2, , ,5, , ,2,4,4, ,1,1,ease of access to medical records,1,1,4,1,2,2,63,1,5,3,2,1, , , ,1, ,7,3,9,3,3,9,9, ,1.1293512, 
51,1,1,180103,1,3,12,3,U, ,2,1,1,1,1,2, ,1,1,1,1,1,2,2,2,1,2,1,2,1,1, , ,1, ,2,4,1,1,1,1,1,information connection,1,1,12,1,1,1,53,3,5,1,2,1, , , ,1, ,2,3,8,1, ,1, , ,1.3341904, 
52,1,1,180103,1,1,36,1,S, ,2,1,1,3,1,8, ,1,8,1,1,1,1,2,1,1,1,1,1,2,2, ,4,3,4,4,1,2,2,3,1,1,it gets people connected and gives people information,2,1,0, , , ,57,2,3,1,2,1, , , ,1, ,7,1, ,3,1,1, , ,1.1066685, 
54,1,1,180103,1,1,9,3,S, ,2,1,1,2,2, , ,1,1,1,2,1,2,1,1,1,2,1,2,1,1,4,5,1, ,4,6,2,1,1,1,1,To connect people with information and other people.,2,3,12,1,2,2,34,1,6,2,2,9, , , ,9, ,2,3,8,5,2,1, , ,1.1065681, 
55,1,1,180103,1,3,45,2,S, ,2,1,1,1,1,3, ,1,1,1,1,1,1,2,2,1,1,1,2,2,2, , ,1,5,5,1,1,3,3,2,1,Bad things for kids,5,1,0, , , ,53,1,4,8,2,1, , , ,1, ,8,1, ,2,2,1, , ,1.7719833, 
56,1,1,180103,1,3,12,5,U, ,2,1,1,1,1,2, ,1,1,2,2,1,2,2,2,2,2,2,2,1,2, , , , , ,1,1,1, ,1,1,easy access to information,1,1,1,1,2,2,60,1,5,1,2,2, , , ,2, ,9,1, ,3,2,1, , ,0.6457127, 
57,1,1,180103,1,2,26,2,S, ,2,1,1,2,1,2, ,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1, ,3,4,4,1,1,1,1,"connecting people, information",2,1,20,1,2,1,52,1,5,2,2,1, , , ,1, ,7,3,8,2,2,1, , ,1.6608685, 
58,1,1,180103,1,1,36,3,S, ,2,1,1,2,1,2, ,2, ,1,1,1,2,1,1,1,2,1,2,1,1,1,2,1, ,3,1, ,1,2,1,1,keeps us more informed,1,1,52,1,1,1,78,1,8,3,2,1, , , ,1, ,7,3,2,2,2,1, , ,0.4622402, 
60,1,1,180105,1,2,26,2,S, ,2,1,1,2,1,2, ,1,1,1,2,1,1,1,1,2,1,1,2,2,2,1,2, ,1,2,3,3,2,4,1,1,Because it helps communicate ideas and revolutionized the exchanging process,2,1,10,1,2,2,18,6,3,2,2,1, , , ,1, ,6,3,2,4,4,1, , ,1.9749805, 
62,1,1,180103,2,1,34,5,S, ,2,2,2, , , , ,1,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1,1, , ,8, , ,9, ,97,2,2,2,82,6,3,3,1,7, , , ,5,3,1,8,8,1, ,1, , ,0.4068687, 
63,1,1,180103,1,3,13,3,S, ,2,1,1,2,1,2, ,1,1,1,1,1,1,2,2,1,2,1,2,1,2, , ,1, ,3,3,1,1,3,1,1,"INFORMATION AT YOUR FINGERTIP, STOP HUSBAND AND HERSELF FROM ARGUING",1,1,35,1,1,1,70,1,6,3,2,1, , , ,1, ,6,1, ,2,2,1, , ,0.4447959, 
64,1,1,180103,1,1,36,3,S, ,2,1,1,2,2, , ,1,2,1,1,1,1,2,2,1,2,1,2,2,2, , ,5, ,4,1,4,1,3,3, , ,9,1,5,1,1,2,55,6,5,1,2,2, , , ,2, ,5,3,2,2,2,1, , ,0.6439157, 
65,1,1,180103,1,1,42,2,R, ,1,1,1,3,1,2, ,1,1,1,1,1,2,2,2,1,2,1,2,1,2, , ,2, ,3,4,4,3,3,1,1,fake news,8,1,12,1,2,2,74,1,4,3,2,1, , , ,1, ,5,1, ,2,2,1, , ,0.7269509, 
66,1,1,180103,1,2,26,3,S, ,2,2,2, , , , ,2, ,2,2,2,2, , , , , , , , , , , , , ,1, , , ,1,1,"you can look up a lot of things and you can get a lot of information, bad information too. it's a mixed blessing",1, ,15,1,2,2,87,5,8,3,2,1, , , ,1, ,8,3,1,8,4,2,1, ,1.6323444, 
67,1,1,180103,1,3,24,4,S, ,2,1,1,3,1,8, ,1,1,1,1,1,1,2,2,1,2,1,2,2,1, , ,2, ,5,1,2,1,4,1,1,we can keep in touch with loved ones helps research quicker,2,1,7,1,2,1,57,1,7,1,2,2, , , ,2, ,8,2, ,3,3,1, , ,0.4778001, 
68,1,1,180103,1,3,21,1,S, ,1,1,1,3,1,2, ,2, ,2,1,1,1,2,2,2,2,2,2,2,2, , , , , ,3, ,3, ,1,1,ability to gather information and inquire about something,1,1,8,1,1,2,36,6,5,1,2,1, , , ,1, ,5,2, ,1, ,2, , ,2.112972, 
70,1,1,180103,1,3,12,4,S, ,1,2,2, , , , ,2, ,2,2,2,2, , , , , , , , , , , , , ,4, , , ,8, , ,9, ,0, , , ,55,5,3,1,2,1, , , ,1, ,3,4,9,1, ,2, , ,2.112972, 
71,1,1,180103,1,3,12,3,U, ,2,1,2,2,1,8, ,1,1,2,2,1,1,1,2,1,1,2,2,2,2,3, ,4,5, ,1,1,1, ,1,1,information,1,1,12,1,2,1,90,5,5,3,2,1, , , ,1, ,4,1, ,1, ,1, , ,0.492931, 
72,1,1,180103,1,1,23,1,R, ,2,2,2, , , , ,2, ,2,2,2,2, , , , , , , , , , , , , ,1, , , ,8, , ,9, ,0, , , ,95,3,4,3,2,1, , , ,1, ,2,1, ,1, ,2, , ,1.26184, 
73,1,1,180103,1,3,45,2,S, ,1,1,1,2,1,2, ,1,1,2,1,1,2,2,2,1,2,1,2,2,2, , ,5, ,3,1,4,1, ,1,1,"NEWS ,WEATHER,COMMUNICATION",1,1,0, , , ,74,1,7,3,2,1, , , ,1, ,5,1, ,2,2,1, , ,0.4237598, 
74,1,1,180103,1,3,45,2,S, ,2,2,2, , , , ,2, ,2,2,2,2, , , , , , , , , , , , , ,1, , , ,3, , ,9, ,98,1,2,1,74,5,1,3,2,2, , , ,2, ,1,3,9,9,9,9,9, ,0.897189, 
75,1,1,180103,1,3,37,1,R, ,2,1,2,1,1,2, ,1,2,1,2,1,2,2,2,1,2,2,2,2,2, , ,2, , ,1,1,1,1,1,1,communication,2,1,0, , , ,70,3,4,3,2,2, , , ,2, ,4,2, ,1, ,1, , ,0.4315549, 
76,1,1,180103,1,1,42,4,S, ,1,1,2,2,1,2, ,1,1,1,1,1,2,2,2,1,2,1,2,2,2, , ,5, ,5,1,1,5,4,3, , ,9,3,1,1,2,2,64,1,4,2,2,1, , , ,1, ,7,1, ,2,2,1, , ,0.7306801, 
77,1,1,180103,1,1,36,3,S, ,1,1,1,2,1,2, ,1,1,1,1,1,2,2,2,1,2,1,2,2,2, , ,2, ,2,2,1,1,3,1,1,"ACCESS TO THE WORLD, LIKE A WHOLE WORLD MUSEUM.  MY PASTOR TELLS ME THAT GOOGLE IS LIKE THE SECOND HOLY SPIRIT.",1,1,0, , , ,62,1,3,1,2,1, , , ,1, ,8,1, ,2,2,1, , ,1.3038965, 
78,1,1,180103,1,2,26,3,U, ,1,1,1,2,1,2, ,1,1,2,1,1,2,2,2,1,1,1,2,2,2, , ,3,5,5,4,4,4, ,2,1,people lack self control,8,8,2,1,2,2,54,1,5,1,2,1, , , ,1, ,5,1, ,3,3,1, , ,1.4254724, 
79,1,1,180103,1,2,39,3,S, ,1,2,2, , , , ,2, ,2,2,2,2, , , , , , , , , , , , , ,1, , , ,2,1,to many scams going on,6, ,22,1,2,2,79,1,4,3,2,1, , , ,1, ,99,1, ,2,2,2,2, ,2.112972, 
80,1,1,180103,1,2,18,3,S, ,2,1,2,5,1,2, ,1,2,2,2,1,2,2,2,2,2,2,2,2,2, , , , , ,1,3,3, ,2,1,to much bad sites,6,1,12,1,2,2,70,5,3,3,2,9, , , ,9, ,2,3,2,1, ,1, , ,0.687695, 
83,1,1,180103,1,3,47,1,S, ,2,1,2,5,1,8, ,1,2,2,2,1,2,2,2,2,2,1,2,2,2, , , , ,5,2,4,4, ,1,1,A GOOD THIMG BUT POORLY USED,8,1,10,1,2,2,73,1,2,3,2,1, , , ,1, ,98,2, ,2,2,1, , ,0.9301917, 
84,1,1,180103,2,1,36,5,U, ,1,1,1,2,1,2, ,1,1,1,2,2,2,2,1,1,2,1,1,2,2, ,2,1, ,3,2,3,3,4,1,1,information fast,1,1,3,1,1,2,47,1,7,1,1,7, , , ,5,3,2,4,8,5,3,1, , ,0.3761749, 
85,1,1,180103,1,3,37,4,U, ,1,1,1,2,1,3, ,1,1,1,1,1,2,2,2,1,1,1,2,1,1, , ,2,2,2,4,2,2,4,1,1,information,1,1,3,1,1,2,61,1,7,3,1,7, , , ,5,1,7,3,2,7,6,1, , ,0.3771632, 
86,1,1,180103,1,1,36,4,U, ,2,1,2,2,1,2, ,1,1,2,1,1,2,2,2,2,2,1,2,2,1, , , , ,5,4,1,2, ,1,1,it allows me to look up the ansers to questions instead of going to the library,1,1,97,1,2,2,69,6,8,3,2,1, , , ,1, ,2,3,2,1, ,1, , ,0.3761749, 
89,1,1,180103,1,3,37,3,U, ,2,2,2, , , , ,1,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1,4, , ,8, , ,9, ,98,1,2,2,60,3,4,6,2,2, , , ,2, ,99,2, ,1, ,2, , ,1.3094317, 
90,1,1,180103,1,3,37,1,R, ,2,1,1,3,1,2, ,1,2,2,2,1,2,2,2,2,2,2,2,2,2, , , , , ,1,3,3, ,2,1,fake news,3,1,50,1,2,2,72,5,5,3,2,1, , , ,1, ,4,2, ,2,2,1, , ,0.6249401, 
91,1,1,180103,1,3,51,2,S, ,2,1,1,2,2, , ,1,1,1,1,1,2,2,1,1,2,1,2,2,2, ,1,1, ,2,1,1,2,3,1,1,google things and everything is based on technologhy now,1,1,5,1,2,2,30,6,3,4,2,2, , , ,2, ,3,2, ,2,1,1, , ,0.8466286, 
92,1,1,180103,1,1,9,4,U, ,1,1,2,1,1,2, ,1,1,1,2,1,2,2,2,1,2,1,2,2,2, , ,4, ,1,2,2,2,4,2,1,fake news and false information,3,1,12,1,2,2,72,3,4,5,2,1, , , ,1, ,4,2, ,1, ,1, , ,0.4806634, 
94,1,1,180103,1,3,12,3,S, ,2,1,1,2,1,2, ,1,1,1,1,1,2,1,2,1,2,1,2,1,1,5, ,3, ,3,4,4,2,4,1,1,"education, easy to find answers",1,1,8,1,1,1,67,1,6,2,2,1, , , ,1, ,7,1, ,2,2,1, , ,0.4447959, 
96,1,1,180103,1,1,50,1,R, ,2,1,1,2,2, , ,1,1,1,2,1,2,2,2,1,2,1,2,2,2, , ,3, ,5,6,2,2,4,3, , ,9,1,24,1,2,2,60,3,8,1,2,1, , , ,1, ,7,3,2,1, ,1, , ,0.4850796, 
97,1,1,180103,1,2,26,1,R, ,2,2,2, , , , ,1,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,4,3, , ,1,1,it gives alot of communication through the world (else) no,2, ,0, , , ,71,5,2,3,2,1, , , ,1, ,1,4,9,1, ,1, , ,0.6303808, 
98,1,1,180103,1,3,12,4,S, ,1,1,2,2,1,2, ,2, ,1,2,1,1,2,2,1,2,2,2,2,2, , ,3, , ,1, ,1,2,1,1,free,8,1,36,2,1,2,64,1,7,1,8,9, , , ,9, ,8,9,9,2,2,2,1, ,1.1117986, 
99,1,1,180103,1,1,50,2,S, ,2,1,1,2,1,2, ,1,1,2,2,1,2,2,2,2,2,1,2,1,2, , , , ,3,2,2,1, ,1,1,BECAUSE OF THE RESOURCES THAT IT OPENS UP.,1,1,36,1,1,1,80,1,6,3,2,1, , , ,1, ,7,2, ,2,2,1, , ,0.4438787, 
100,1,1,180103,1,3,12,2,S, ,1,1,1,1,1,2, ,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2, ,1, ,2,1,1,1,3,1,1,instant acces to info,1,1,12,1,2,1,68,1,7,3,2,1, , , ,1, ,8,1, ,2,2,1, , ,0.4237598, 
101,1,1,180103,1,3,13,3,S, ,2,1,2,3,1,2, ,1,2,1,2,1,2,2,2,1,1,2,2,2,2, , ,2,5, ,1,1,1,3,1,1,KEEP CONTACT WITH DIFFERENT PEOPLE,2,1,0, , , ,68,3,4,3,2,1, , , ,1, ,3,3,1,1, ,1, , ,0.492931, 
102,1,1,180103,1,1,36,4,S, ,2,1,1,1,1,2, ,1,1,1,1,1,1,2,1,1,1,1,2,1,2, ,2,3,1,2,3,1,1,2,1,1,Opens up a line of communication to the world,2,1,2,1,2,2,20,6,4,2,2,2, , , ,2, ,6,2, ,4,4,1, , ,1.4004204, 
103,1,1,180103,1,3,28,1,R, ,2,1,1,1,1,2, ,1,1,1,1,1,2,2,2,1,2,2,2,2,2, , ,2, , ,1,4,2,4,3, , ,9,1,3,2,2,1,67,1,4,3,2,1, , , ,1, ,99,1, ,2,2,1, , ,0.6249401, 
104,1,1,180103,1,2,29,2,U, ,1,1,1,2,1,2, ,1,1,1,2,1,1,2,2,1,2,1,2,2,2, , ,5, ,3,2,2,2,3,1,1,because of the capablity to exchange information,1,1,8,1,1,1,60,1,6,1,2,1, , , ,1, ,8,2, ,3,3,1, , ,0.5004565, 
105,1,1,180103,1,2,29,4,S, ,1,1,1,2,1,2, ,1,1,1,1,1,2,2,2,1,2,2,2,2,2, , ,1, , ,1,1,1,2,1,1,new information,1,1,0, , , ,66,1,5,3,2,1, , , ,1, ,7,2, ,3,2,1, , ,0.5995907, 
106,1,1,180103,1,3,48,2,S, ,2,1,1,2,1,2, ,1,1,2,1,1,1,2,2,2,2,1,1,1,2, , , , ,3,1,2,1, ,1,1,"improved communications, and lots of learning opportunities",2,1,6,1,2,2,57,1,6,4,2,1, , , ,1, ,8,1, ,4,3,1, , ,0.7753013, 
107,1,1,180103,1,3,5,1,R, ,2,1,2,4,1,2, ,1,1,2,2,1,2,2,2,2,2,2,2,2,2, , , , , ,3,2,3, ,1,1,access to information quickly,1,1,12,1,2,2,57,1,3,1,2,1, , , ,1, ,8,2, ,3,3,1, , ,1.6884395, 
109,1,1,180103,1,3,28,1,R, ,2,1,1,2,1,2, ,1,1,1,1,1,1,2,1,1,1,1,2,1,2, ,1,1,1,5,1,1,2,1,2,1,too much infiormation for kids,5,1,6,1,2,2,43,1,3,1,2,1, , , ,1, ,4,1, ,3,2,1, , ,1.928637, 
111,1,1,180103,1,2,27,3,U, ,1,1,1,2,1,2, ,1,1,1,1,1,2,2,2,1,2,1,2,2,2, , ,2, ,5,1,1,1,4,3, , ,9,3,12,2,1,2,68,1,6,3,2,1, , , ,1, ,6,3,2,2,2,1, , ,0.4136174, 
112,1,1,180103,1,3,28,1,R, ,1,1,1,2,1,2, ,1,1,2,1,1,2,2,2,2,2,1,2,2,2, , , , ,2,1,2,1, ,3, , ,9,1,20,1,2,2,43,1,3,1,2,2, , , ,2, ,99,3,2,2,2,1, , ,1.3179738, 
113,1,1,180103,1,2,29,2,U, ,2,1,1,1,1,2, ,1,1,1,1,1,1,1,2,1,2,1,2,2,2,4, ,3, ,1,2,1,1,3,1,1,easy access to lots ofinfo,1,1,97,1,1,1,36,1,6,1,2,1, , , ,1, ,5,3,1,3,3,1, , ,1.113924, 
114,1,1,180103,1,3,12,2,U, ,1,1,1,2,1,2, ,1,1,2,2,1,2,2,2,1,2,1,2,2,2, , ,5, ,3,4,2,2, ,1,1,easy acces to more information and more choices for infromation,1,1,30,1,2,2,63,3,8,3,2,1, , , ,1, ,3,3,8,1, ,1, , ,0.3761749, 
116,1,1,180103,1,2,29,1,R, ,1,1,1,2,1,2, ,1,1,2,1,1,1,2,2,2,2,1,2,2,2, , , , ,3,1,2,3, ,1,1,the information availabilty,1,1,3,1,2,2,39,1,3,1,2,1, , , ,1, ,8,1, ,5,4,1, , ,1.6693383, 
117,1,1,180103,1,2,55,1,S, ,1,1,1,1,1,2, ,1,1,1,2,1,2,2,2,1,2,2,2,2,2, , ,1, , ,1,3,1,1,1,1,"its addictive, everyone is on it",8,1,0, , , ,68,1,3,3,2,1, , , ,1, ,3,2, ,2,2,1, , ,0.9807941, 
119,1,1,180103,1,3,47,1,R, ,2,2,2, , , , ,1,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,4, , ,8, , ,9, ,0, , , ,91,5,3,3,2,1, , , ,1, ,99,2, ,1, ,1, , ,0.6725543, 
