Lake	Beach Name 	County	City	number_volunteers	total_time_hours	total_volunteer_hours	debris_weight_lbs	total_num_items	paper_bags 	plastic_bags	beverage_container_plastic	beverage_container_glass_can	beverage_related_items	food_related_items	recreational_items	 balloons	clothing_shoes	personal_hygiene_items 	tobacco _related_items	drug_paraphernalia 	fishing_related_items	shotgun_shells	household_items	appliances	 crates 	pallets 	 rope	 strapping_bands 	building_materials	55-Gal_	automobile_items	entangled_animal	Most Peculiar Item Found 	Misc. Items
Superior	Second Sand Beach	Baraga	L'Anse	65	2	130	50	0	28	68	18	114	132	362	9	4	6	4	61	0	3	12	5	2	0	0	4	8	32	0	4	none		
Superior	Calumet Township Park Beach	Houghton	Calumet	127	3	381	338	0	34	186	40	134	494	1175	16	71	32	9	29	0	5	1	2	0	0	0	2	11	423	0	15	none	golf balls and fish tags	"glass pieces, metal scraps"
Superior	Chassell Beach	Houghton		21	3	63	21	0	2	10	2	16	36	344	14	27	12	3	10	0	3	0	3	0	0	0	7	5	10	0	1	none	blanket	"lollipop sticks, plastic pieces, glass pieces"
Superior	North Canal Park	Houghton		155	5	775	123	0	21	0	15	73	151	199	16	2	6	23	12	1	0	2	2	0	0	0	0	0	180	0	4	none	"I don't know if it's peculiar, but we did find a glass drug pipe. That's a first for us!"	nails
Superior	Bete Gris North - Public Beach	Keweenaw		3	1	3	5	0	0	0	0	7	23	59	9	3	1	0	8	0	0	1	0	0	0	0	0	0	0	0	0	none		ribbons
Superior	Bete Gris Preserve	Keweenaw		3	1	3	5	0	1	1	1	2	11	22	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	none		Firework debris
Superior	Lizzadro Preserve	Keweenaw		2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	none		
Superior	Cat Harbor	Keweenaw		2	1	2	2	0	0	7	1	2	10	6	0	3	5	1	4	0	0		1	0			1		1	0	0	none	feminine hygiene products	ribbon
Superior	Eagle Harbor Beach	Keweenaw	Calumet	15	2	30	28	0	0	13	6	30	147	201	208	5	54	4	4	0	7	1	0	0	0	0	25	9	20	0	4	none	old shoe leather tossed up by Lake Superior - of local historical interest so sent to local archivist	plastic fragments
Superior	Hunter's Point	Keweenaw		2	1	2	4	0	1	3	7	7	9	5	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	none	"1 metal 4 inch model military fighter jet (expensive) and a business card (Haymarket, VA) that may be source"	"food wrappers /containers 2 lbs, 2 sq ft of hard plastic"
Superior	Horseshoe Harbor	Keweenaw		2	2	4	16	0	0	2	0	2	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	none	X-country ski with frame attachment and 3X5 piece of hard plastic. We speculate it was the remnants of a homemade sled for hauling an ice fishing shanty.	"X-country ski and 3' X 5' heavy plastic, toilet"
Superior	Porter's Island	Keweenaw		2	2	4	15	0	0	23	16	6	26	3	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	none	30 feet of light weight rope	"scraps paper, plastic, tinfoil, styrofoam 2-3 lbs, 5ft wire, 10 lbs fireworks debris"
Superior	Seven Mile Point	Keweenaw		1	2	2	4	0	0	2	0	0	15	11	2	9	2	1	2	0	0	3	0	0	0	0	11	1	0	0	0	none		"plastic fragments, fish tags"
Superior	Veale Park	Keweenaw		6	2	12	65	0	0	5	3	7	24	7	1	2	0	0	0	0	1	1	0	0	0	0	7	0	0	0	1	none	Section of fiberglass boat	"3'X2' section of fiberglass boat, ribbon, shampoo bottles"
Superior	Tobacco River Park	Keweenaw		37	3	111	30	0	0	11	17	69	38	75	6	2	22	0	2	0	5	0	2	0	0	0	4	0	22	0	0	none		"plastic, glass, metal"
Superior	Eagle River to Great Sand Bay	Keweenaw	Calumet	5	1	5	31	0	2	6	2	31	34	81	2	2	4	4	16	0	0	2	3	0			3			0	3	none	3 foot fender possibly for JetSki	"Metal, plastic"
Superior	Squaw Beach	Marquette		9	2	18	100	0	3	7	3	30	28	54	30	0	2	1	4	0	2	2	0	1	0	0	2	0	0	0	6	none	Bed frame	"circuit breakers, shovel"
Superior	Founders Landing	Marquette		22	3	66	30	0	18		11	73	32	118	1	0	8	0	0	0	0	5	0								0	none		"Glass pieces, styrofoam pieces, fake flowers"
Superior	Marquette South Beach Park	Marquette		25	3	75	30	0	13	128	9	10	63	58	16	0	1	2	14	1	1	0	0	0	0	0	0	1	2	0	3	none		Styrofoam Pieces
Superior	NMU Beach	Marquette		20	3	60	30	0	19	38	20	44	47	76	5	0	7	10	32	0	1	1	0	0	0	0	0	1	1	0	2	none		"Napkins, sunglasses, compact disc"
Superior	Picnic Rocks - to McCarty's Cove	Marquette		15	3	45	30	0	33	26	12	29	101	160	24	5	17	4	18	0	3	0	0	0	0	0	0	0	10	0	3	none		Styrofoam pieces
